state,state_abbreviation,county,fips,party,candidate,votes,vote_share
Alabama,AL,Autauga,01001,Democratic,Hillary Clinton,2387,80.0
Alabama,AL,Autauga,01001,Democratic,Bernie Sanders,544,18.2
Alabama,AL,Autauga,01001,Democratic,Uncommitted,42,1.4
Alabama,AL,Autauga,01001,Democratic,Rocky De La Fuente,6,0.2
Alabama,AL,Autauga,01001,Democratic,Martin O'Malley,3,0.1
Alabama,AL,Baldwin,01003,Democratic,Hillary Clinton,5290,64.7
Alabama,AL,Baldwin,01003,Democratic,Bernie Sanders,2694,32.9
Alabama,AL,Baldwin,01003,Democratic,Uncommitted,149,1.8
Alabama,AL,Baldwin,01003,Democratic,Martin O'Malley,30,0.4
Alabama,AL,Baldwin,01003,Democratic,Rocky De La Fuente,15,0.2
Alabama,AL,Barbour,01005,Democratic,Hillary Clinton,2567,90.6
Alabama,AL,Barbour,01005,Democratic,Bernie Sanders,222,7.8
Alabama,AL,Barbour,01005,Democratic,Uncommitted,33,1.2
Alabama,AL,Barbour,01005,Democratic,Martin O'Malley,8,0.3
Alabama,AL,Barbour,01005,Democratic,Rocky De La Fuente,3,0.1
Alabama,AL,Bibb,01007,Democratic,Hillary Clinton,942,75.5
Alabama,AL,Bibb,01007,Democratic,Bernie Sanders,246,19.7
Alabama,AL,Bibb,01007,Democratic,Uncommitted,46,3.7
Alabama,AL,Bibb,01007,Democratic,Martin O'Malley,10,0.8
Alabama,AL,Bibb,01007,Democratic,Rocky De La Fuente,4,0.3
Alabama,AL,Blount,01009,Democratic,Hillary Clinton,564,55.1
Alabama,AL,Blount,01009,Democratic,Bernie Sanders,395,38.6
Alabama,AL,Blount,01009,Democratic,Uncommitted,56,5.5
Alabama,AL,Blount,01009,Democratic,Martin O'Malley,5,0.5
Alabama,AL,Blount,01009,Democratic,Rocky De La Fuente,3,0.3
Alabama,AL,Bullock,01011,Democratic,Hillary Clinton,2451,91.3
Alabama,AL,Bullock,01011,Democratic,Bernie Sanders,178,6.6
Alabama,AL,Bullock,01011,Democratic,Uncommitted,39,1.5
Alabama,AL,Bullock,01011,Democratic,Martin O'Malley,9,0.3
Alabama,AL,Bullock,01011,Democratic,Rocky De La Fuente,7,0.3
Alabama,AL,Butler,01013,Democratic,Hillary Clinton,2196,92.1
Alabama,AL,Butler,01013,Democratic,Bernie Sanders,156,6.5
Alabama,AL,Butler,01013,Democratic,Uncommitted,24,1.0
Alabama,AL,Butler,01013,Democratic,Martin O'Malley,5,0.2
Alabama,AL,Butler,01013,Democratic,Rocky De La Fuente,3,0.1
Alabama,AL,Calhoun,01015,Democratic,Hillary Clinton,5011,76.5
Alabama,AL,Calhoun,01015,Democratic,Bernie Sanders,1425,21.8
Alabama,AL,Calhoun,01015,Democratic,Uncommitted,81,1.2
Alabama,AL,Calhoun,01015,Democratic,Martin O'Malley,18,0.3
Alabama,AL,Calhoun,01015,Democratic,Rocky De La Fuente,13,0.2
Alabama,AL,Chambers,01017,Democratic,Hillary Clinton,2899,88.6
Alabama,AL,Chambers,01017,Democratic,Bernie Sanders,312,9.5
Alabama,AL,Chambers,01017,Democratic,Uncommitted,45,1.4
Alabama,AL,Chambers,01017,Democratic,Rocky De La Fuente,9,0.3
Alabama,AL,Chambers,01017,Democratic,Martin O'Malley,8,0.2
Alabama,AL,Cherokee,01019,Democratic,Hillary Clinton,712,66.1
Alabama,AL,Cherokee,01019,Democratic,Bernie Sanders,268,24.9
Alabama,AL,Cherokee,01019,Democratic,Uncommitted,80,7.4
Alabama,AL,Cherokee,01019,Democratic,Martin O'Malley,10,0.9
Alabama,AL,Cherokee,01019,Democratic,Rocky De La Fuente,7,0.6
